;;Name (click to view profile);Date;Likes;Comment;(view source)
44;;EeveeStar 682;22.11.18 10:35:24;1;GUYS THIS FILM HAS ALMOST MADE MORE MONEY THAN FROZEN AND IT'S STILL IN CINEMA;view comment
45;;Einstein II;22.11.18 10:35:24;0;The Jewish are destroying humanity;view comment
46;;Emerson Sanders;22.11.18 10:35:24;0;I'm so happy I watched this great movie. I remember wayback in 2004 I got a toy from them in my cereal . It's been 14 years it's kinda makes me feel... I don't know how to say it, it just makes me very happy . Love the Incredibles 2;view comment
47;;Emilio Sanchez;22.11.18 10:35:24;0;It will be on October 22 2018!!!!!!!!!!!!!!!!!!!!!  ????????????????? YAY!!!!  2 days until incredible  Comes out!;view comment
48;;Enes;22.11.18 10:35:24;1208;“Where you going ASAP?” “You better be back ASAP” Once a legend, always a legend;view comment
;48-1;Space Nerd;22.11.18 10:35:24;3;Lol;view comment
;48-2;dwimantoarif;22.11.18 10:35:24;2;Bleach;view comment
;48-3;Dre R;22.11.18 10:35:24;6;That part wasn’t even in the movie... or did I miss it?;view comment
;48-4;Batman The dark knight;22.11.24 15:45:47;0;He better freezestyle ASAP;view comment
;48-5;Zander;22.01.19 10:35:24;9;@Dre R  You missed it.;view comment
;48-6;Angel Yadiel Davila;14.11.24 15:58:52;0;Planeta Disney  Pronto;view comment
;48-7;Avdullah HOTI;22.06.19 10:35:24;0;@Dre R  it wasn`t your right;view comment
;48-8;Keros Kreation;22.09.19 10:35:24;0;1000nd like baby yeet.;view comment
49;;Envious_Soul;22.11.18 10:35:24;0;Math Is Math;view comment
50;;Epic Movie Compilations;22.11.18 10:35:24;0;I hate it when Pixar make a sequel and yet, no third film. A trilogy consists of a beginning, middle and an end. Incredibles 2 should never have happened. Toy Story 4 seems fitting since there actually is more to explore. Hell, people thought Toy Story 3 was a bad idea.;view comment
51;;Et Immortalem;22.11.18 10:35:24;0;The little kid is over powered;view comment
52;;Eva Dobre;22.11.18 10:35:24;0;Hei ! Can  you please make a “Warriors cats” movie ? I really like “Warriors cats” and I would like to see a movie about this ! You can read the books, for ideas and please make it 12+ because it contains blood and death .... Tell me if you like my idea !;view comment
53;;F dL;22.11.18 10:35:24;0;I don't have seizures but I can see why one of the fight scenes could cause one. ?;view comment
54;;FAT POTATO FATTIE;22.11.18 10:35:24;0;Hi guys I’m dressed as violet;view comment
55;;Farhan Khan;22.11.18 10:35:24;0;Why mrs incrible is talking to table;view comment
56;;Faze Al dusty;22.11.18 10:35:24;0;0:13  that expropriation do;view comment
57;;FeniX_The1;22.11.18 10:35:24;1;Wall-E 2 Coming? :P;view comment
58;;Fenly Papendang;22.11.18 10:35:24;0;Samuel L. Jackson must freezed Thanos with superpower.;view comment
59;;Fortnite master;22.11.18 10:35:24;1;great movie;view comment
60;;Francisca Geneke;22.11.18 10:35:24;0;I watched this movie;view comment
61;;Fun Mahomies;22.11.18 10:35:24;0;??? NO it won't;view comment
62;;GIRLS & BOYS 7;22.11.18 10:35:24;1;I want you make film incredibles 3;view comment
63;;Gauss24;22.11.18 10:35:24;0;saw it this morning, loved it. the first one is still more amazng though. jack jack was the best part of this one;view comment
64;;Gowtham;22.11.18 10:35:24;0;Feminism started taking place on animated movies also. its a virus!;view comment
65;;Grace Woofter;22.11.18 10:35:24;0;MATH IS MATH;view comment
66;;Harsh Joshi;22.11.18 10:35:24;0;Lovely movie it is..??????????;view comment
67;;Haso Gho;22.11.18 10:35:24;0;Fab movie!;view comment
68;;Hello it’s me;22.11.18 10:35:24;1;Math is Math;view comment
69;;Holly S;22.11.18 10:35:24;0;Violet is so cool with her powers! I want incredible 3!!!!;view comment
70;;JADE Lp;22.11.18 10:35:24;0;Super and cool;view comment
71;;Jackier Abaday;22.11.18 10:35:24;0;trailer much better than the movie Its kinda boring;view comment
72;;Jacqueline Morano;22.11.18 10:35:24;0;2:02  - An interesting fun fact, but a spoiler alert: The actress, Catherine Keener, who voiced and played Evelyn Deavor, who’s alter ego is ScreenSlaver used hypnotism in The Incredibles 2. While in another film, Get Out, Catherine Keener plays Missy Armitage, whose character also used hypnotism!;view comment
73;;James Nicholls;22.11.18 10:35:24;0;I was a little disappointed they didn't at least have a Syndrome cameo.;view comment
74;;Jess;22.11.18 10:35:24;0;Nice;view comment
75;;Jesse Skyn;22.11.18 10:35:24;0;WANN KOMMT ER ????;view comment
76;;Jinn 8612;22.11.18 10:35:24;0;Amazing Progress.;view comment
77;;Joker AOV;22.11.18 10:35:24;1;Baby is The Power.;view comment
78;;Joseph Benson;22.11.18 10:35:24;0;I just saw the movie and I have a question. if the villains hypnotizing goggles rely on somebody watching them in order to work. why don't the heroes just close their eyes right before the villains put the goggles on them? I know once they're hypnotized they have no real choice but there's nothing stopping the heroes from just closing their eyes right before the goggles get put on them, pretend like you're hypnotized until they get a chance to rip them off.;view comment
79;;Joshua Gore;22.11.18 10:35:24;1;Violet: Did you wash your hands? Dash: Speeds off and come back Violet: with, SOAP? Dash: Squish and comes back Violet: Did you dry them?  Dash: shakes hands hard like bird flapping wings;view comment
80;;Justice Girl;22.11.18 10:35:24;5;IT WAS A 10/10 I LOVED THE MOVIEEEE YOU SHOULD GO SEE IT,;view comment
81;;K M;22.11.18 10:35:24;1;Great film despite waiting a long time for it to come out. Better than the first one.;view comment
82;;Kaushik Shettigar;22.11.18 10:35:24;0;I have the complete movie, if anyone wants.;view comment
83;;Kenyon Scott;22.11.18 10:35:24;0;They forgot "The" in the logo, it pronounced "The Incredibles 2";view comment
84;;Kika Park;22.11.18 10:35:24;0;Even better than first movie;view comment
85;;KoFx ChAozZ;22.11.18 10:35:24;197;Who just came here after watching the actual movie ???;view comment
;85-1;Quickshot Plays;22.11.18 10:35:24;0;Me;view comment
;85-2;Quickshot Plays;22.11.18 10:35:24;0;thanks to googl ply;view comment
;85-3;shilpi mukherjee;22.11.24 15:45:47;0;watched in google play me;view comment
;85-4;Stay Lowkey;22.03.19 10:35:24;0;Me;view comment
;85-5;The trash can;22.04.19 10:35:24;0;MEEE;view comment
;85-6;MUSTAFA AHMED;22.10.19 10:35:24;0;what is so funny about this why did you put the laughing emojis?;view comment
86;;KroeKlaw;22.11.18 10:35:24;0;"TOO LATE! 15 years, too late...";view comment
87;;Lavender Animates;22.11.18 10:35:24;3;WHY DO THEY CHANGE MATH?!;view comment
88;;Leo Donald;22.11.18 10:35:24;0;Saw this today. Awesome job;view comment
89;;Leonardo Carbone;22.11.18 10:35:24;0;ZZ;view comment
90;;Lizzy Gacha_Life;22.11.18 10:35:24;0;Did you wash your hands? With soap?  Did you dry them? What is this all vegetables!!!;view comment
91;;Lord Turki;22.11.18 10:35:24;0;is trailer is absolute amazing, 10/10;view comment
92;;Lu2kool4U;22.11.18 10:35:24;3;0:04  Violet: Did you wash your hands? Dash: Did YOU?!.!;view comment
93;;M;22.11.18 10:35:24;1;Worst voices choice ever!;view comment
94;;MGstaR17;22.11.18 10:35:24;0;Elasticgirl 4ever;view comment
95;;MR MONEY BAG 666;22.11.18 10:35:24;0;????;view comment
96;;Maharajasala;22.11.18 10:35:24;1;This movie sucked big tim compared to part one;view comment
97;;Malik Gunebakan;22.11.18 10:35:24;0;Soooooo..... when’s the third movie coming out? Or we gotta wait another decade for that one?;view comment
98;;Maris Atra Septia;22.11.18 10:35:24;0;Aahh w bener² suka sm kartun iniiii ?;view comment
99;;Maris Atra Septia;22.11.18 10:35:24;0;Yg di tunggu² keluar jg ?;view comment
100;;Maris Atra Septia;22.11.18 10:35:24;0;????;view comment
101;;Martin Kojac;22.11.18 10:35:24;0;Take my money ???;view comment
102;;Meat Claw;22.11.18 10:35:24;0;5/10. Stock story by the end. No syndrome esq baddies;view comment
103;;Miss Anonymous;22.11.18 10:35:24;0;Hahaha I love this villains Hypnosis in reality maybe all president on nuclear then war begin.;view comment
104;;Miss Anonymous;22.11.18 10:35:24;0;Mean in reality this world have super hero but them hidden some where because politics hate them they know if super hero help people mean we not need more police or another government more...;view comment
105;;Miss Nina 's;22.11.18 10:35:24;3;waited so long for this ! and it is good really , really good for a family hero movie! this is a sequel master piece ! and i dont normaly like sequels! i would take my hat off and bow to Brad Bird about the incredibles  2 story!;view comment
106;;Morito Cabron;22.11.18 10:35:24;0;very disappointing film;view comment
107;;Mr. NoName;22.11.18 10:35:24;0;jack jack amazing :);view comment
108;;MrGabeanator;22.11.18 10:35:24;0;finnmonster sent me;view comment
109;;MrGabeanator;22.11.18 10:35:24;0;the bluray is already on my Christmas list anyone else?;view comment
110;;MrViMichael;22.11.18 10:35:24;0;Im already over 20 years old, but I still stuck in my Childhood because Disney wants to...;view comment
111;;Mrko280 Hi;22.11.18 10:35:24;0;This is now a tik tok now;view comment
112;;Muneeba's guild;22.11.18 10:35:24;0;The female voice character for mom the stretchy incredible is like an old lady voice and doesn't suite the character mom it suites for a grandma...so wrong choice they made;view comment
113;;Mustofa Zaenuddin;22.11.18 10:35:24;1;salut;view comment
114;;My name is Connor;22.11.18 10:35:24;0;INCREADABLES 2 WAS LIT ?????;view comment
115;;N. G;22.11.18 10:35:24;0;Lit film;view comment
116;;Nadia Rose Anderson;22.11.18 10:35:24;0;this is awsomeeeeeeeeeeeeeeeeeeee;view comment
117;;Ndeye Diokhane;22.11.18 10:35:24;0;Gfi bff;view comment
118;;Nelkon Shuaibu;22.11.18 10:35:24;0;I've been waiting for this!;view comment
119;;Nicole Moore;22.11.18 10:35:24;0;Easter eggs in this trailer!;view comment
120;;Nikhil Kumar;22.11.18 10:35:24;1;Nice g ?????????????????????????????????????????;view comment
121;;Ninja Hyper;22.11.18 10:35:24;0;I love moms new job;view comment
122;;Ninja Hyper;22.11.18 10:35:24;0;It is time to make wrong things right;view comment
123;;Old Childhood;22.11.18 10:35:24;0;I love this film, but man it's full of jump scares.;view comment
124;;Ovan Nantaa;22.11.18 10:35:24;0;Kapan ada di tv??;view comment
125;;Pedro Cruz-Vargas;22.11.18 10:35:24;1;The Screenslaver interrupts this program for an important announcement. This movie was awesome!;view comment
;125-1;franco salinas d soy autista;22.07.19 10:35:24;0;Soy autista;view comment
126;;Phasmic;22.11.18 10:35:24;0;cookies;view comment
127;;Phil John;22.11.18 10:35:24;0;cant wait for this one it looks … incredible!;view comment
128;;Prince Christian;22.11.18 10:35:24;0;I'm watching it2003. I'm 4 now I'm 19yrs old.???;view comment
129;;Quack Playz;22.11.18 10:35:24;0;Where you going ASAP? YO BETTER BE BACK ASAP ??;view comment
130;;Restine Vergara;22.11.18 10:35:24;0;Thank you and God bless;view comment
131;;Rhythm F.;22.11.18 10:35:24;1;That was a lot of talk and build up for one fight??;view comment
132;;Rockstar Movies;22.11.18 10:35:24;1;After they make a toy story 4 will they make a bugs life 2;view comment
133;;Roxyeeyee _;22.11.18 10:35:24;0;I think it was worth it! But have caution, it does have a lot of (even unecessary) violence.;view comment
134;;SH A HI D HZ;22.11.18 10:35:24;5;11/10 because of jack jack and edna;view comment
135;;Samhitha Chandrashekhar;22.11.18 10:35:24;0;Ohhhh... Hrs called Jack Jack because he's the Jack of all trades but master of none!!!;view comment
136;;Schamlos ausgenutzt;22.11.18 10:35:24;0;Mal ganz ehrlich.Ich schaue gerne Animationen.Warum ist eigentlich Disney der einzige beste der Filmanimation. Gerade Incredible 2 geschaut.Einfach nur Profis Profis Profis Profis.Sagenhaft was die schaffen .Danke dafür;view comment
137;;Seina Kimura;22.11.18 10:35:24;0;Need more Edna;view comment
138;;Sheena Dayanan;22.11.18 10:35:24;0;Didn't noticed Roxy from Megamind was here and she's a villain now? haha;view comment
139;;Shiro??;22.11.18 10:35:24;0;HONEY WHERES MY SUPER SUIT, WHERES. MY. SUPER. SUIT;view comment
140;;Spider Riszer;22.11.18 10:35:24;0;1:41  music;view comment
141;;Sprinkle Wakeman;22.11.18 10:35:24;0;"Edna Mode.... And Guest!";view comment
142;;Sudhir Pandey;22.11.18 10:35:24;0;chutiyap;view comment
143;;Sunil Paswan;22.11.18 10:35:24;0;hello;view comment
144;;SuperMarioLuke SML;22.11.18 10:35:24;0;Can you make a Finding Marlin;view comment
145;;SwensonOG;22.11.18 10:35:24;0;ITS BEEN 14 YEARS AND WE STILL CANT FIND HIS SUPERSUIT!;view comment
146;;TBK;22.11.18 10:35:24;0;just watched it.  I'm not sure I watched Disney's movie or a feminist movie.;view comment
147;;Tariq Rabby;22.11.18 10:35:24;0;Great animated film and I saw it many times;view comment
148;;Taylor geo;22.11.18 10:35:24;0;i want incredibles 3 where the villain have their superpowers...;view comment
149;;The 12th Dimension;22.11.18 10:35:24;2;Just saw it in cinema, it was  WAY  better then I thought it would be!;view comment
150;;The Sentinel;22.11.18 10:35:24;0;I think I’ve found the meaning of life...;view comment
151;;The chan;22.11.18 10:35:24;0;20 years for batman lego movies ?;view comment
152;;The chan;22.11.18 10:35:24;1;Who's the strongest one?;view comment
153;;The crazy Dog;22.11.18 10:35:24;0;Hi;view comment
154;;TheGamerTutorial Kiddo;22.11.18 10:35:24;1;How nice!!!!!!!;view comment
;154-1;TheGamerTutorial Kiddo;22.11.18 10:35:24;1;Jack Jack is so cute and he is magic and he is invisible too. I have a toy of the Jack Jack I found in my McDonald's happy meal.;view comment
155;;Toby white;22.11.18 10:35:24;0;";view comment
156;;Tohrzy;22.11.18 10:35:24;0;Saul goodman anyone?;view comment
157;;Unknown Identity;22.11.18 10:35:24;0;Too bad the trailer just spoils the entire movie cause there is nothing else to it aside from the poorly made villian;view comment
158;;Vincent Ly;22.11.18 10:35:24;0;What happed to Syndrome?;view comment
159;;Vini Gamer Br;22.11.18 10:35:24;0;HONEY WHERE IS MY SUPER MOVIE;view comment
160;;W R;22.11.18 10:35:24;0;???This is soo relatable???;view comment
161;;Wan Don;22.11.18 10:35:24;0;Elastic girl is THICC;view comment
162;;Warren;22.11.18 10:35:24;0;The whole movie was awesome but screenslaver was a weaker villain in comparison to syndrome;view comment
163;;WillBrink;22.11.18 10:35:24;0;If you enjoyed the first one, you'll enjoy the second one, but it lacks something hard to define. The movie attempts to throw everything but the kitchen sink at you, as well as attempt to cover social topics we don't really need addressed in a Disney/Pixar film, and it just tries to hard. CGI is excellent, but unlike the first movie, does not take advantage of it well. Some good dialogue, but too socially awares to just be fun...Two, took them so long to do II, those who enjoyed the first one probably college age by now and "too cool" to watch such things. I had high hopes for this one... B-;view comment
164;;XxOriginal_ _AvengerxX;22.11.18 10:35:24;0;:dash WHAT is this all vegetables WHO ORDERED ALL VEGETABLES:me XD :mom i did dash :((  00:15;view comment
165;;XxOriginal_ _AvengerxX;22.11.18 10:35:24;0;Math is math MATH IS MATH;view comment
166;;XxOriginal_ _AvengerxX;22.11.18 10:35:24;0;WOW I LIKE MOMMYS NEW JOB;view comment
167;;YoshiCats Gacha;22.11.18 10:35:24;2;I watched the movie it’s great I’m going to see it again with my friend :D I really recommend this;view comment
168;;[] Jerry Mouse The Great [];22.11.18 10:35:24;0;Dash: Holy  MEMES E G G R O L L S;view comment
169;;_ _siR;22.11.18 10:35:24;0;YEEEEEsss GREAT MOVIE "sighs and resets alarm clock for another 7,363,289 Minutes and renames it Incredibles 3";view comment
170;;adewale ajibade;22.11.18 10:35:24;0;I love you;view comment
171;;autistic dalek;22.11.18 10:35:24;0;Frozone is my fav character. wHeRe is mY suPEr sUiT?;view comment
172;;brendyndisney2187 85;22.11.18 10:35:24;0;I love this movie and this movie is so awsome????;view comment
173;;hiep nguyen;22.11.18 10:35:24;0;So what happened with the Underminer after the movie???!!!;view comment
174;;idi m;22.11.18 10:35:24;0;I am the only one who saw obama opening doors infront of trump tower?;view comment
175;;infinity gaming;22.11.18 10:35:24;0;Upload  movie;view comment
176;;justarandom avocadohere;22.11.18 10:35:24;0;This movie brings back childhood memories man... I used to watch the Incredibles as a little kid, me and my dad loved it and we legit watched it once a year until I was 12 or so. We're gonna watch the sequel together soon;view comment
177;;krisdisis craftycraf;22.11.18 10:35:24;0;are trailers spoilers;view comment
178;;lil Migs;22.11.18 10:35:24;0;I just watched this yesterday ???;view comment
179;;man rich;22.11.18 10:35:24;0;WHERE U GOING ASAP U BETTER BE BACK ASAP;view comment
180;;mohammad rahman;22.11.18 10:35:24;0;i know that incredibles 2 is coming up in june 12 or 15;view comment
181;;mostafa Shaaban90 Shaaban;22.11.18 10:35:24;0;????????;view comment
182;;naeem rehman;22.11.18 10:35:24;0;I take care of kiDs .....Hashanah hahaha;view comment
183;;nerka raguckas;22.11.18 10:35:24;0;Funny;view comment
184;;royal;22.11.18 10:35:24;0;the kid is like my lil bro, i hate him;view comment
185;;rujan singh;22.11.18 10:35:24;0;Evelyn looks like Roxanne from Megamind. Anyone else wants to see a crossover between the two movies?;view comment
186;;ryder nigga;22.11.18 10:35:24;0;no shadman fans beyond this point;view comment
187;;stanley kieffer III;22.11.18 10:35:24;0;Littlest pet shop you and me;view comment
188;;teresa kalinowska;22.11.18 10:35:24;0;10 years for lego city 3 years for finding dory 7 years for incredibles 2;view comment
189;;??? ????? ? ??? We are only ideal;22.11.18 10:35:24;0;WOW.....Just WOW!!!;view comment
190;;???? ????;22.11.18 10:35:24;0;??? ??? ?????;view comment
191;;??;22.11.18 10:35:24;0;From Japan!  I just saw this movie. The best!;view comment
192;;???;22.11.18 10:35:24;0;Mario;view comment
193;;Arnøld Castîllo;22.11.24 15:45:47;0;That Screensaver guy well girl has a very nice mask, it kinda looks like mine if you look at it closely;view comment
194;;Carmen Caldwell;22.11.24 15:45:47;0;Finished watching this movie last nite, it was pretty good, if not a little better than Ralph Breaks the Internet. Spider-Verse, even.;view comment
195;;Clare;22.11.24 15:45:47;0;better than the incredibles 1..;view comment
196;;Cliptic;22.11.24 15:45:47;5;49,745,126   people   came   for   elastigirl;view comment
197;;Daniel Slewa;22.11.24 15:45:47;0;Who's watching Incredibles 2 on DVD and Blue-ray?!;view comment
198;;Davin Perrera;22.11.24 15:45:47;0;1:06   memes 2:09   another meme;view comment
199;;Dice;22.11.24 15:45:47;1;I will wait the third part after 14 years;view comment
200;;Glanced;22.11.24 15:45:47;1;"where you going ASAP you better be back asap";view comment
201;;Hack the Planet;22.11.24 15:45:47;4;Such a good movie, I enjoyed every minute of it.;view comment
202;;JKirbyD;22.11.24 15:45:47;1;Num num cookie?  ?;view comment
203;;Jaded Tunes;22.11.24 15:45:47;1;Elastic girl sounds like someones grandma.;view comment
204;;Jason Sieffert;22.11.24 15:45:47;0;“It’s been 14 years of silence, it’s been 14 years of pain, it’s been 14 years that I never got and I’ll never have again.”;view comment
205;;John Grande;22.11.24 15:45:47;0;3 plsss;view comment
206;;John Grande;22.11.24 15:45:47;0;incredibles 3;view comment
207;;Jota3214;22.11.24 15:45:47;0;In another universe... Saul Goodman is the owner of a company dedicated to save Superheroes.;view comment
208;;Lloyd Cruz;22.11.24 15:45:47;5;Still wondering what happened to the Underminer;view comment
209;;LunaMedia International;22.11.24 15:45:47;0;incredibles 3, coming soon 2032;view comment
210;;MOHAMAD IKHWAN;22.11.24 15:45:47;0;*E L A S T H I C C G I R L;view comment
211;;Manuel Vega;22.11.24 15:45:47;0;Stuart Little and Branch as Bob Parr/Mr. Incredible  Margalo and Poppy as Helen Parr/Elastigirl Lola Bunny and Starfire as Violet Parr Puss in Boots and Tulio as Dash Parr Alvin (Simon and Theodore as Extras) as Jack-Jack Parr Chicken Little (with Barry B Benson as an Extra) as Lucius Best/Frozone;view comment
212;;Marie Launchbury;22.11.24 15:45:47;0;houyin;view comment
213;;Mehmet Canbaz;22.11.24 15:45:47;0;INCREDIBLES 2 Gods!!!  3 4 5 6 . .. .. ??????;view comment
214;;Oneil One;22.11.24 15:45:47;0;This movie officially destroyed my childhood;view comment
215;;Ozyalp Uygun;22.11.24 15:45:47;0;is that better call Saul ? ?  0:43;view comment
216;;Ozzie comedian;22.11.24 15:45:47;1;I guess you can say this movie was pretty incredible.;view comment
217;;Paladin Headquarters;22.11.24 15:45:47;0;OYFUM!;view comment
218;;Raphiell;22.11.24 15:45:47;0;Screenslaver monologue is a bit better than Syndrome's;view comment
219;;Ryan Stolz;22.11.24 15:45:47;0;Imagine what if your girlfriend is elastigirl :D;view comment
220;;SELENATOR S;22.11.24 15:45:47;0;Jack jack;view comment
221;;Shlong Dick;22.11.24 15:45:47;1;The action in this movie is more for adults, And this movie is like an marvel movie;view comment
;221-1;Shlong Dick;22.11.24 15:45:47;0;@Typical gamer 337  ???;view comment
;221-2;Shlong Dick;22.11.24 15:45:47;0;@Typical gamer 337  bro im not saying this is a bad movie because its got adult action stuff in it. im just saying the action sequences look cool so calm down;view comment
222;;Steveyfnj 15;22.11.24 15:45:47;0;';view comment
223;;Stone Odje;22.11.24 15:45:47;1;Where you going asap, you better be back asap.... Box office ?;view comment
224;;Suraj ChOudhary;22.11.24 15:45:47;6;10/10 absolutely right rating for this ?;view comment
225;;Tuan Zakwan;22.11.24 15:45:47;2;Can we have a Jack-jack standalone vs the Raccoon Lord?;view comment
226;;Widdekuu91;22.11.24 15:45:47;1;Awesome movie.;view comment
227;;akhil a;22.11.24 15:45:47;0;9.8/10... Awesome movie waiting for another series of it...????? incredible 3;view comment
228;;avbarbertebeverballe;22.11.24 15:45:47;0;definitely not an extra sjw twist on this one, not at all.;view comment
229;;damien claxton;22.11.24 15:45:47;0;Elastigirl cheated on her husband and Jack Jack is the result and his biological father will be the villain of Incredibles 3 who has more than 50% of Jack Jack's powers. Youre welcome Disney. Now send me a cheque;view comment
;229-1;B K;22.11.24 15:45:47;0;What;view comment
230;;freddy Montes;22.11.24 15:45:47;0;OH WOWY WOW??????????????????????????????;view comment
231;;garbage girl;22.11.24 15:45:47;0;i watched this a few months ago, it was okay, the voice acting,  and animation are phenominal but in the end this movie  wasn't really my cup of tea...Personally, i prefer 2009 and back Disney/Pixar.;view comment
;231-1;B R;22.01.19 10:35:24;0;garbage girl Understandable.;view comment
