;;Name (click to view profile);Date;Likes;Comment;(view source)
26;;Aboli Zirpe;28.03.19 12:09:48;1;India is also an Asian country but ppl think as only China Korea Filipinos Singapore japan Indonesia like someone said in the comments. Tbh even if ppl think abou India it’s of no use cause if I talk about crazy then it’d be only the ambanis! The ambanis r the richest ppl in the asia;view comment
27;;Alexandra Z;28.03.19 12:09:48;0;So she's been dating him for a year and doesn't know that he is crazy rich? She has never Googled him or his family? Come on... And she looks like she's always dressed in expensive clothes even in the coffee shop scene, so the plot is not very believable.  Also, it is very rare irl for very rich people to date poor people, no matter what everyone says. Usually the rich ones are not only stuck up, but they roam around other rich people.;view comment
28;;Angelo Fernandez;28.03.19 12:09:48;7;Im asian and I need to see this movie;view comment
;28-1;Pod;28.11.88 15:56:45;1;are u sure ur asian?  ur ears are more elephant!  lolz;view comment
;28-2;rangga mpp;28.06.19 12:09:48;0;lol i'm done ???;view comment
29;;Anishar 17;28.03.19 12:09:48;0;This movie wins an award, it has everything a movie needs and more. This will be the 2nd movie that made me cry, from the best friends wedding to when the girls mum came to see her daughter from (01.20.00 until the end). This movie is similar to may life, its like the writer wrote it just for me haha. This made me love it even more and I would love if the director (Jon M. Chu) and writer (Kevin Kwan) wrote more movies similar to THIS ONE. ?? best movie in 2018. Was worth the wait!!;view comment
30;;Apoorva Chandra;28.03.19 12:09:48;7;Someone please make a movie on our Ambani family.. They're crazy rich asians too;view comment
;30-1;BlackRed CE;28.03.19 12:09:48;1;Y so butifel i want to frk u;view comment
31;;Avani Mishra;28.03.19 12:09:48;0;Not really Asian representation but go off.;view comment
32;;Bake Instantly;28.03.19 12:09:48;0;Wonder what Awkwafina is doing now? She's baking Boujee Gucci Cupcakes ?  https://youtu.be/Xh4h-lMGV90;view comment
33;;Blueberry 585;28.03.19 12:09:48;0;Bok Bok Bit #h;view comment
34;;Bouldy;28.03.19 12:09:48;1;Ya boy flexin with a dolla bill;view comment
35;;Candice;28.03.19 12:09:48;0;I know the girl is young and unknowing but the way she speaks to his mother is sheer disrespect as if the mother is some causal woman lol;view comment
36;;Connor RK505;28.03.19 12:09:48;0;I'm a crazy lazy asian;view comment
37;;Crystal Jae;28.03.19 12:09:48;1;yellow on the outside white on the inside...;view comment
38;;Eliana Intile;28.03.19 12:09:48;3;I really really love this movie!! Specially the wedding scene... Hope they´re made more movies;view comment
39;;Elphiba music;28.03.19 12:09:48;0;WOWOOWOWO BEST MOVEI EVERRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR;view comment
40;;Froggy Noddy;28.03.19 12:09:48;1;this movie is made for that Asian girl hoping and praying she'll marry rich and live a life happily ever after. most crazy Asians are middle class trying to make ends meet.;view comment
41;;Fukin SG Invain;28.03.19 12:09:48;0;MOTHER N SON ARE TOTALLY DIFFERENT GENETIC... NOT REALLY RICH COZ I NEVER SEE RICH PEOPLE TOOK CAB TO AIRPORT, BUT REALLY CRAZY ASIAN... OR PERHAPS THE SON WAS ADOPTED OR UNWANTED CHILD HAHHAHAAHAHA;view comment
42;;Fukin SG Invain;28.03.19 12:09:48;0;SINGAPOOR??? FACT IS ONLY PAP@ LEE AND HIS FAMILEES' AND CRONIES AND MONEY LAUNDERING TYCOONS THOSE WHO ARE RICH, THE REST IS SINGAPOOR, SO POOR AND SENSITIVE. EVEN EARNING 5K PER MONTH FOR FT, ALREADY IRS CAME TO YOU AND INVESTIGATE YOUR BACKGROUND, LEST YOU GIVE THEM MONEY THEN DIFFERENT STORY. MONEY IS SINGAPOOR'S GOD;view comment
43;;Gabtube252;28.03.19 12:09:48;3036;Can't wait for the more relatable sequel: MENTALLY ORDINARY MIDDLE CLASS ASIANS;view comment
;43-1;sumit singh;28.08.19 12:09:48;2;Damn?;view comment
;43-2;15 Xoxo;28.08.19 12:09:48;1;Gabtube252 lol in the 2nd book Rachel is actually richer than Nick.;view comment
;43-3;Blah Blah;28.08.19 12:09:48;0;????? Yes;view comment
;43-4;Blah Blah;28.08.19 12:09:48;2;Mentally Ordinary Middle Class Asians who are not necessarily only Japanese, korean or Chinese.?;view comment
;43-5;S B.;28.09.19 12:09:48;0;Its american movie hun, with actors of asian backgrounds;view comment
;43-6;Rosxu e;28.10.19 12:09:48;0;Watch fresh off the boat you will love it (its on prime);view comment
;43-7;Andrew Toombs;07.11.19 12:09:48;0;Phlunk yourself 40degrees in bones and wake up from that injury ... bet you will remember this text message sincerely;view comment
;43-8;The future is Unity;07.11.19 12:09:48;0;Exactly, that's why the movie tanked in Asia. They should have name it Crazy Rich American Asian instead. Their accent, culture and way of life are nothing like Asia Asians. I'm saying this as a Singaporean.;view comment
;43-9;Iqozul Himam;28.03.19 12:09:48;41;There are 3 books.. the second one is China Rich Girlfriend;view comment
;43-10;Alexander Faust;28.11.88 15:56:45;5;Great comment!  DEAD ON.;view comment
;43-11;Solo Bano;28.11.88 15:56:45;7;Hahaha, totally stupid movie, really idiotic;view comment
;43-12;animation freak;28.05.19 12:09:48;3;Hahahahaha i would love to watch this movie ?;view comment
;43-13;Moon;28.05.19 12:09:48;2;MEEE;view comment
;43-14;Sunil Bose;28.05.19 12:09:48;2;Perfect comment;view comment
;43-15;Ankit Kumar;28.05.19 12:09:48;1;@Iqozul Himam  Can you tell me how many books are there for this sequel?;view comment
;43-16;Iqozul Himam;28.05.19 12:09:48;8;@Ankit Kumar  Crazy Rich Asians, China Rich Girlfriend, and Rich People Problem;view comment
;43-17;Josh;28.05.19 12:09:48;2;See off the boat;view comment
;43-18;Annxyzm;28.06.19 12:09:48;2;@Iqozul Himam  but i think it's allready combined together. Maybe/? LETS PRAG FOR SEQUEL;view comment
44;;Im Roo;28.03.19 12:09:48;0;Go Asia;view comment
45;;Jella Canen;28.03.19 12:09:48;0;Recommend movies pleaseee;view comment
46;;Lolatana;28.03.19 12:09:48;10;I am a crazy  rich  Asian.... In my dreams. ¬.¬;view comment
47;;Lone Blade;28.03.19 12:09:48;0;I am rich, tall and handsome.;view comment
48;;Luis Felipe Orozco;28.03.19 12:09:48;2;Dammit, I STILL haven't seen this movie!!!!;view comment
;48-1;Skrimze;28.03.19 12:09:48;0;It's amazing,  u should watch it;view comment
49;;Luis Felipe Orozco;28.03.19 12:09:48;0;Seriously, Nick is SO ugly.....!!!!;view comment
50;;Lynda;28.03.19 12:09:48;0;This is a fantastic movie, except for one thing, the music is so loud I couldn't hear what they were saying!!! Why is this always happening in almost every movie I watch it's so annoying;view comment
51;;Marc S.;28.03.19 12:09:48;1;Ugh... This movie has been made 235694872 times already. If I was asian I wouldn't be proud of having commercial garbage products like this made in my name because of DIVERSITY. There are already so many amazing asian movies outside of Hollywood's trash machine.;view comment
52;;Mrinalika Sharma;28.03.19 12:09:48;35;Yeah because .. Indians Middle eastern sri lankan bangladeshi people aren’t ASIAN of course;view comment
;52-1;peaceflowerstudios;28.03.19 12:09:48;11;They are, but this movie just isn't about them :^/;view comment
;52-2;iamcleverdick;28.03.19 12:09:48;0;@peaceflowerstudios  so true!;view comment
;52-3;Lælæ;28.03.19 12:09:48;4;You're not the sharpest pencil in the box I shall say;view comment
;52-4;khushal virk;28.03.19 12:09:48;2;Pakistan left the chat;view comment
;52-5;khushal virk;28.03.19 12:09:48;1;Laelae ever heard about mukesh ambani.. he is the sharpest pencil in whole of asia;view comment
;52-6;Ray Yu;28.03.19 12:09:48;0;Asia is big and Chines should be classified as orientals in that case;view comment
53;;Nathasha Fernando;28.03.19 12:09:48;0;If I'm correct.. this is supposed to be based on the book  Crazy Rich Asians. But the Astrid described in the book is soo striking yet sweet. I was sooo looking forward to seeing her ever since I accidentally got to know there was a film. And Lin girl is supposed to be this super fashionable thing that trots around in all the designer labels and walks around like a Queen. Not at all the picture they've portrayed here. And in the book, Rachel doesn't really stand up much to Eleanor. She just try to stay away. And Nick and Rachel fly back to America where they plan to have their wedding which only starts in the second book. And Nick... Nick is to look hot yet this Oxford type guy who's down to earth and uncomfortable about talking about money and stuff.. I dunno.. The story is not at all very accurate but well.. love the lead actress from Fresh off the boat .. so anything goes..;view comment
54;;Nikki Amouzadeh;28.03.19 12:09:48;1;I'm crazy Asian poor! ? ? ?;view comment
;54-1;meizhang zhang;28.03.19 12:09:48;0;haha also me;view comment
55;;Nirvana Borg;28.03.19 12:09:48;0;one of the best movies;view comment
56;;Paul H;28.03.19 12:09:48;1;Hollywood has the power to shape the social ideology of the people in the world, whatever they see in their movies is how they perceive other race and other people. For this they can promote prejudice, stereotypes or hatre,  or even glorify an ethnic group through how they portray them;view comment
57;;Projekt 6;28.03.19 12:09:48;0;This is a very uncomfortable movie.;view comment
58;;Random User;28.03.19 12:09:48;0;Wow! I'm Crazy Poor Asian. My breakfast is candy, oops sorry i meant half a candy.;view comment
59;;Rebaz Ali;28.03.19 12:09:48;0;Yeah, sure, yet another movie pay for watching stupid ass rich people ending up happily ever after. Yay.;view comment
60;;Shoda Katsura ??????;28.03.19 12:09:48;0;Hopefully this can change how asian men are perceived;view comment
61;;Sigma Geranimo;28.03.19 12:09:48;2;This will be our Future civilization, We will become Aristocrate society in year 1800.  the rich will marry the rich, the poor will marry the poor and will be a lot of divorced then produce damage next gen kids. GBU. The rich will have an Armed Guard in front of the house.;view comment
62;;Sope Hope;28.03.19 12:09:48;0;1:45  that hits real hard though;view comment
63;;The Most Original Gamer;28.03.19 12:09:48;1;This movie should be named  Crazy   Rich   Chinese Oh, come on Asia is a continent, not a country   ¯\_(?)_/¯ Increase your geographical knowledge a bit;view comment
64;;XD???;28.03.19 12:09:48;0;I have a private helicopter and a private yacht, but not a private jet;view comment
65;;_imyour parksoyoungg;28.03.19 12:09:48;0;Im crazy lazy asian;view comment
66;;banana;28.03.19 12:09:48;0;This movie really great .;view comment
67;;brandon2092;28.03.19 12:09:48;0;That's what we call Asian;view comment
68;;david sanchez-cortes;28.03.19 12:09:48;0;Damn Asian is the new Jew, where all they care about is $$$;view comment
69;;dvg fgt;28.03.19 12:09:48;1;To all the people who say Asians are under represented in Hollywood so are many cultures, even white ones, how often do you get a polish lead in a movie? Or a scottish superhero, the only Scottish superhero in X-Men got an English make over in the new XMen movies.  To be honest the movie industry doesn't care for culture or race, it cares for money.  White Americans make up majority of the population so they target the people that will bring in the most money.  That's why black movies don't become blockbusters, only 12 percent (the Black population) is going to see it. The only reason black panther did well is because it a superhero movie.  It's about supply and demand, nothing to do with culture or race. When the demographics change in America so will the movies being made.  Bollywood is massive so why not do the same thing in other Asians countries?;view comment
;69-1;Ally Granger;28.03.19 12:09:48;0;Lol you must be white. And it's not about what the industry cares for. We need representation, it's as as simple as that. All we see are white people on our screens, we need diversity. Bollywood is not as big as Hollywood and neither are any other niche industries. Hollywood to you may be just an America thing, but Hollywood is a world thing, and it should represent the world and it's population.;view comment
;69-2;Liam Patrick;21.11.19 12:09:48;0;@Ally Granger  Your comment just proves his point.;view comment
70;;hakjie11;28.03.19 12:09:48;0;Good movie, but if you have stayed around the MBS hotel you would have seen 60% of the movie's backdrop already.;view comment
71;;iiMochi;28.03.19 12:09:48;0;Yo;view comment
72;;nazanin uzbak;28.03.19 12:09:48;0;Is This om Netflix?;view comment
73;;peach love;28.03.19 12:09:48;0;It was the most beautiful movie I've ever seen ?;view comment
74;;riman;28.03.19 12:09:48;5;So this is Hana Yori Dango(Boys over flowers) except set in America . BTW yall need to watch that tv series. Matsumoto Jun is love and the mother is worse than here.;view comment
75;;tripjet999;28.03.19 12:09:48;2;Surprised they got such a racist title past the censors.;view comment
;75-1;Luis Felipe Orozco;28.03.19 12:09:48;0;RIGHT????;view comment
;75-2;Vannie Arnold;28.11.88 15:56:45;1;Luis Felipe Orozco it’s based off a book with the same name...;view comment
76;;yohenba luwangcha;28.03.19 12:09:48;0;Here some Indians are crying over their negligence when it comes to word Asians/.. To b honest I M from India ( north east part of India)... We r different in looks from typical Indians...we have features similar to East Asians...so we are neglected here in India...we are often called Chinese or Nepalese.... So I guess my fellow brothers from India realise how hard it is to b ignored wen u r one...we feel the same wen we Indians from North East are not recognised as Indians( not always)... Karma hits hard..;view comment
77;;yuman Zhu;28.03.19 12:09:48;0;sucks;view comment
78;;Abhilash s;28.11.88 15:56:45;1;I think this the first Non kungfu Asian holly wood movie;view comment
79;;Aishwarya Sharma;28.11.88 15:56:45;0;What's the name of the song playing at the last?;view comment
;79-1;oliverjazz13;28.11.88 15:56:45;0;Vote by Miguel (Produced by Mark Ronson);view comment
;79-2;Kody Fellows;28.11.88 15:56:45;0;glorious by Skylar and mackelmore;view comment
80;;Akshita Parihar;28.11.88 15:56:45;0;Crazy rich ambani Indian version;view comment
81;;Alexander Faust;28.11.88 15:56:45;0;This is the very highest standard of blatant propaganda issued towards the Asian community imaginable, about what holds value and what does not, in relation to ethnicity and culture.  The majority of these actors aren't even Chinese (who's government is AGGRESSIVELY pushing to take over the industry) and have prominent European features - square jaw lines coupled with high cheek bones, and less slant in the eyes with distinct American or British accents.  Apparently, this is fooling a great deal of people, judging by the profit it has made, in that it's not propaganda, by masquerading as legitimate, modern, Asian culture in a ridiculous fairy tale environment projecting the importance of material wealth over the adoration of tradition (even if tradition should be updated incrementally from time to time).;view comment
;81-1;Michael;28.11.88 15:56:45;0;Beyond the propaganda it was flat out TERRIBLE. Nothing happens. The dialogue is hideously on-the-nose, the scenes are completely overdrawn, and the entire second act is just They're rich, They're rich, They're rich! It's The Proposal combined with Meet the Fockers, and without a single line of humor. Was this supposed to a comedy?;view comment
82;;Ana;28.11.88 15:56:45;1;Watching it for the first time and loving it!! I feel like I'm watching a cross between Hollywood and Bollywood, because the cultures are so similar.  Actually, feels more like all the world in 1 :D ?;view comment
83;;AsianInvasion;28.11.88 15:56:45;0;one of my favorite movies of all time;view comment
84;;Auro Keshari;28.11.88 15:56:45;0;Eat the rich, doesnt matter which flavour;view comment
85;;Bara Ridwan;28.11.88 15:56:45;0;I hate this movie;view comment
86;;Batgirl 24;28.11.88 15:56:45;0;JESSICA FROM FRESH OF THE BOAT;view comment
87;;Batte Matthew;28.11.88 15:56:45;0;Where can i watch this mooie for free?;view comment
88;;Dan Lyons;28.11.88 15:56:45;0;#hypergamy  at it's finest.;view comment
89;;David Kalume;28.11.88 15:56:45;1;I had to admit I cried while watching this movie;view comment
;89-1;Pod;28.11.88 15:56:45;0;but it's a comedy...;view comment
90;;Dill Doe;28.11.88 15:56:45;0;Crazy Rice Asians. Im asian and I fuck dogs then eat them;view comment
91;;Forest Law;28.11.88 15:56:45;0;Being rich is boring asf;view comment
92;;Fukin SG Invain;28.11.88 15:56:45;0;MOST SINGAPOOR ARE POORER THAN MANY THINK... CRAZY RICH MOSTLY FROM INDON AND REGIONAL MOVE TO SINGAPOOR... KING OF SUGAR FROM SEMARANG, OEI TIONG HAM.. ONCE THE RICHEST MAN IN SINGAPOOR. OEI HONG LEONG (LEASING COMPANY), SON OF INDON 2ND RICHEST MAN. SPRINGFIELD PROPERTY ALSO FROM SUMATRA, INDONESIA... AND MANY MORE. EVEN EX FACEBOOK PARTNER, EDUARDO MOVED TO SINGAPOOR TO SKIP TAX.. THE JUICY PART, EVEN LEE KUAN YEW PARENTS CAME FROM INDONESIA (WIKI). BEAT THAT;view comment
93;;Gergana Kardashimova;28.11.88 15:56:45;0;?????????? ????;view comment
94;;Goutham Reddy;28.11.88 15:56:45;8;I’m not greedy, I just need “comfortable life”;view comment
95;;Happy Reading & Watching;28.11.88 15:56:45;0;???;view comment
96;;Ilyana Azami;28.11.88 15:56:45;0;just typical love story. nothing wow;view comment
97;;Joce Hernandez;28.11.88 15:56:45;0;Is this a good movie yes or nah?;view comment
98;;Johnny;28.11.88 15:56:45;7;Crazy poor, lazy Hispanic asian;view comment
99;;Joshua Adam Tomoay;28.11.88 15:56:45;1;If this movie would be having a part 2. Oh please please include Lea Salonga! ??;view comment
100;;Justin Eves;28.11.88 15:56:45;1;One of the very best movies ever with a amazing cast;view comment
;100-1;Justin Eves;28.11.88 15:56:45;0;Thank you a lot for like my comment this is a great fun movie;view comment
101;;Ka Peache;28.11.88 15:56:45;0;Why are people in the comments only focusing only the rich people in the movie? I get that’s the title of the movie but this movie also includes a women who isn’t privileged in the slightest and is just struggling to fit in with boyfriend’s rich family. The main girl even has a mother that went through hardships in her life and so she moved to America. This movie isn’t trying to create a stereotype that all Asians are rich and anyone who thinks that is a dumb bitch that hasn’t watched the movie yet.;view comment
102;;Lee Pearl;28.11.88 15:56:45;1;For the recently separated man to watch, or made to watch because of his chick; chicken soup in a movie for the whipped male....smh...;view comment
103;;Likpumpjetski 123;28.11.88 15:56:45;1;Awkwafina! In Fina we trust;view comment
104;;Linen Badge;28.11.88 15:56:45;0;Any Singaporean’s here? And also any rich asians here lol;view comment
105;;Meridia's Bacon;28.11.88 15:56:45;0;There's an asian dude who has a crush on me and I would like to date him so bad... If my life situation was less confusing I def would;view comment
106;;Michael;28.11.88 15:56:45;2;THIS was the movie people raved about??? Could not believe how bad it was.;view comment
;106-1;Enrique;28.05.19 12:09:48;0;I know the feeling. Watching it now on hbo and I'm like what was the hype all about.;view comment
;106-2;Michael;28.05.19 12:09:48;0;Enrique Alvarado the hype was because Hollywood is basically SJW so they stock pump anything diverse no matter how amateur the film is.;view comment
107;;Movie's Twipra;28.11.88 15:56:45;0;Watch new asia movies here.. https://www.youtube.com/channel/UCq64Yoq34SGoeSQs5cqM4-Q;view comment
108;;NO ONE CARES ABOUT YOUR SHIT;28.11.88 15:56:45;0;I'm Lazy Poor Asian.;view comment
109;;Nadia;28.11.88 15:56:45;0;This is movie is soo good omg;view comment
110;;Nellely Lopez;28.11.88 15:56:45;1;Eugene from try guys would’ve been perfect for that part;view comment
111;;OK;28.11.88 15:56:45;0;There are thousands of Indian movies have similar story. Only difference is language is English and cast are Chinese. I am disappointed.;view comment
112;;Pacific 69117;28.11.88 15:56:45;0;More like White Washed Asians;view comment
113;;Pranjal Upadhyay;28.11.88 15:56:45;0;?????;view comment
114;;Princess Tamina WashaPoppin;28.11.88 15:56:45;0;Looks like Jennifer's Lopez movie Monster in law but in steroids of money.;view comment
115;;RedLadyBug U;28.11.88 15:56:45;0;Trying to watch this on amazon prime but it keeps saying it’s unavailable ????? WHY!!!;view comment
;115-1;?????? ? ??????;28.11.88 15:56:45;0;Watch it in fushar;view comment
116;;Rishav Dev Singh;28.11.88 15:56:45;0;Lovely movie. One time watch. ?;view comment
117;;Shawty Imma Party Ti'll The Sundown;28.11.88 15:56:45;2;2:01  the fact that y'all didn't showed Astrid and Charlie dancin in the movie is so dibidissappointing;view comment
118;;Shawty Imma Party Ti'll The Sundown;28.11.88 15:56:45;2;BAK BAK BITCH;view comment
119;;Shlad with a shlid;28.11.88 15:56:45;0;some stuff in this trailer wasn't in the actual movie ;\;view comment
120;;Shruti Venkatram;28.11.88 15:56:45;0;People always forget Indians are Asian too :(;view comment
121;;Smoking Hot;28.11.88 15:56:45;0;you still can watch it at freewaymovies. com;view comment
122;;Stephanie Casuga;28.11.88 15:56:45;0;Improvised movie... very different from the book especially with astrid situation...;view comment
123;;Ted Y;28.11.88 15:56:45;0;Me crazy cheap, i watched this from websites;view comment
124;;TheWonderAnthem;28.11.88 15:56:45;0;At first I thought this was called 'Crazy Bitch Aliens';view comment
125;;Tommy Sands;28.11.88 15:56:45;2;this was like watching Beverly hills house wives. no thanks!!!!;view comment
126;;Toto Tita;28.11.88 15:56:45;0;the staffs from rich asian on NAACP awards made nasty remaks agains whites shame sham shame !!!!!!!!!!!!!!!!!! guess it is not a movie for whites to see  the asian men on Naacp was nasty shame  I will never go see this movie  making funs of whites to  90/100 chineses are like pigs  durthy I'm part asian I was a shame to ear this  idiot on stage w long hair  anyway he is ugly w a tiny you know what LOL gee NAACP using asians and spanish to be on there side gross  it whites where doing this it would be call RACIST!!!!!!!!!!!!!!!!!!;view comment
127;;X quizit;28.11.88 15:56:45;0;WHERE'S SONOYA????;view comment
128;;cance7984;28.11.88 15:56:45;1;I prefer Rodgers and Hammerstein's  Flower Drum Song.;view comment
129;;inotaishu1;28.11.88 15:56:45;0;The Asian in this is clearly just racism, because that is what the movie is the least about. The movie is a fine rom-com but who ever came with this representation and Asian shit, needs to be smacked on the head.;view comment
130;;jessica iffa;28.11.88 15:56:45;2;PLEASE MAKE ASTRID FILM??????!!!!!;view comment
131;;jinn;28.11.88 15:56:45;1;The girl with short black curly hair is also in fresh off the boat just noticed;view comment
132;;jon Doe;28.11.88 15:56:45;0;This movie was completely stupid and dumb my eyes was tormented watching Chinese people trying hard to speak English and acting like white people and thinking stupid things are fun like a shopping spree but they are already rich why they need a shopping spree?? Don't waste your time watching this dumb movie but the ex girl is pretty but too many plastic and fake beauty sad the minds of Chinese people;view comment
133;;kace;28.11.88 15:56:45;0;im just here for henry golding tbf;view comment
134;;mayo b;28.11.88 15:56:45;5;ugh this movie was amazing ???;view comment
135;;peotr Bing;28.11.88 15:56:45;2;This is the shittest movies I have ever seen. The main character, the guy, is really bad. The two main characters have 0 chemistry between them.;view comment
;135-1;Michael;28.11.88 15:56:45;1;I know right? How the hell did people like this movie???;view comment
136;;sada kun;28.11.88 15:56:45;0;Why these asains aren't good looking enough??;view comment
;136-1;JG;28.10.19 12:09:48;0;Your opinion;view comment
137;;sam001;28.11.88 15:56:45;0;they all look same!!;view comment
138;;shin josh;28.11.88 15:56:45;0;let the world nuke  itself;view comment
139;;sonam jamtsho;28.11.88 15:56:45;0;can anyone help me to download this movie?;view comment
140;;????????;28.11.88 15:56:45;0;This movie was brilliant. I loved how double-unprivileged (women of color) can be brave and strong.;view comment
;140-1;Michael;28.11.88 15:56:45;0;Moonbat alert!;view comment
141;;Amtullah Stuardo;28.05.19 12:09:48;1;Classic one of the best movies for a long time;view comment
142;;Ana Hai ???;28.05.19 12:09:48;0;im a crazy asian-european;view comment
143;;Blue In red;28.05.19 12:09:48;0;ASIAN CUNTS WORSHIP MONEY—THEY WILL SELL THEIR FORTUNE COOKIES FOR IT!!!;view comment
144;;Bob Bobb;28.05.19 12:09:48;0;ALL WOMEN WANT $$$$$  NOT love;view comment
145;;Brianna Dantzler;28.05.19 12:09:48;1;Just watched this like 10 mins ago it was good;view comment
;145-1;Philany Ndlovu;28.05.19 12:09:48;0;And I just finished watching it like minutes ago. It was super lit indeed ?????;view comment
146;;Bryant Ngo;28.05.19 12:09:48;0;I CANT FUCKING WAIT;view comment
147;;ChrisOcon;28.05.19 12:09:48;0;The movie itself is way better than this trailer. Go out and watch this movie! So funny and the drama is so good.;view comment
148;;Dimas Prasetyo;28.05.19 12:09:48;0;Crazy Rich Africa ia Wakanda Forever!;view comment
149;;Elly Rust;28.05.19 12:09:48;0;Their british accent is so fake and annoying made the movie unbearable to watch. Dislike;view comment
150;;Game Collectibles;28.05.19 12:09:48;0;So thats the reason  this film released in India , Its all british-american film.;view comment
151;;Hayabusa Hanabi;28.05.19 12:09:48;1;Movies so good, just a bit sounds like dub;view comment
152;;Hillary Loves Kpop;28.05.19 12:09:48;1;I would like to watch this movie and yes I am a Chinese Canadian ???? girl and man we finally have actual Asian actors and actresses that are represented in the western media;view comment
